name	altcoin	abb	country	group	lat	long	gdp_name	gdp_unit	gdp_2013	gdp_2014	gdp_2015	gdp_2016	gdp_2017	gdp_2018	gdp_2019	notes
Algerian Dinar	FALSE	DZD	Algeria		28.033886	1.659626	Algeria	Current, USD billion	209.755	213.81	165.979	160.034	167.39	173.757	172.781	
Namibian Dollar	FALSE	NAD	Namibia		-22.95764	18.49041	Namibia	Current, USD billion	12.724	12.796	11.769	11.283	13.562	14.513	14.368	
Ghanaian Cedi	FALSE	GHS	Ghana		7.946527	-1.023194	Ghana	Current, USD billion	63.279	53.173	48.595	54.989	58.978	65.518	67.077	
Egyptian Pound	FALSE	EGP	Egypt		26.820553	30.802498	Egypt	Current, USD billion	288.007	305.567	332.075	332.484	236.528	249.559	302.256	
Bulgarian Lev	FALSE	BGN	Bulgaria		42.733883	25.48583	Bulgaria	Current, USD billion	55.557	56.815	50.201	53.236	58.342	65.197	66.25	
East Caribbean Dollar	FALSE	XCD	Antigua and Barbuda,Dominica,Grenada,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines	OECS	15.4238729	-61.3600668	Antigua and Barbuda/Dominica/Grenada/St. Kitts and Nevis/St. Lucia/St. Vincent and the Grenadines	Current, USD billion	5.571	5.804	6.141	6.447	6.669	7.042	7.399	gdp: agg
Panamanian Balboa	FALSE	PAB	Panama		8.537981	-80.782127	Panama	Current, USD billion	45.6	49.921	54.092	57.958	62.284	65.055	68.536	
Bolivian Boliviano	FALSE	BOB	Bolivia		-16.290154	-63.588653	Bolivia	Current, USD billion	30.883	33.237	33.241	34.189	37.782	40.581	42.401	
Danish Krone	FALSE	DKK	Denmark		56.26392	9.501785	Denmark	Current, USD billion	343.584	352.994	302.673	311.988	329.866	352.058	347.176	
Botswanan Pula	FALSE	BWP	Botswana		-22.328474	24.684866	Botswana	Current, USD billion	14.915	16.259	14.445	15.658	17.383	18.615	18.69	
Lebanese Pound	FALSE	LBP	Lebanon		33.854721	35.862285	Lebanon	Current, USD billion	46.867	48.296	49.974	51.239	53.394	56.372	58.565	
Tanzanian Shilling	FALSE	TZS	Tanzania		-6.369028	34.888822	Tanzania	Current, USD billion	45.681	50.002	47.384	49.774	53.227	56.852	62.224	
Vietnamese Dong	FALSE	VND	Vietnam		14.058324	108.277199	Vietnam	Current, USD billion	170.444	185.759	191.288	201.326	220.376	241.272	261.637	
