ym,currency,amount,usd_vol
Mar-13,AUD,1240.7619000000004,85698.66377901398
Mar-13,BRL,16.988599999999998,1077.6061496381649
Mar-13,CAD,175.42289999999997,11165.898989338582
Mar-13,EUR,618.1126,45207.2281210763
Mar-13,GBP,4826.539900000003,318176.7082766242
Mar-13,ILS,0.57,29.2782987423
Mar-13,INR,11.4009,798.029377622357
Mar-13,MXN,279.37589999999994,13577.212838851035
Mar-13,NOK,5.5114,282.666931113239
Mar-13,NZD,3.9839,187.128005242945
Mar-13,RON,8.2478,599.1650722493981
Mar-13,RUB,3.6783999999999994,341.04880736592605
Mar-13,SEK,104.24000000000001,6494.167305763172
Mar-13,SGD,0.9858,74.96484854396999
Mar-13,THB,1.5,111.47113387499999
Mar-13,TWD,1.0,63.6874855
Mar-13,USD,664.7810000000002,43480.73124178175
Apr-13,ARS,5.8383,801.53728387556
Apr-13,AUD,2287.090399999998,296465.583700924
Apr-13,BRL,2.0,161.74938634
Apr-13,CAD,392.4786,50610.35700212462
Apr-13,CHF,109.0704,13607.220636131355
Apr-13,CZK,5.2131,600.932341079762
Apr-13,DKK,3.7,465.17466323
Apr-13,EUR,1388.0178,175267.90754256016
Apr-13,GBP,9385.538700000014,1216459.087033105
Apr-13,HKD,99.7293,13749.590745919988
Apr-13,HRK,2.8077,378.23829231978004
Apr-13,ILS,14.600999999999999,2555.4406643200205
Apr-13,INR,11.838799999999999,1807.0827298817858
Apr-13,MXN,8.844199999999999,1634.0318054153197
Apr-13,NOK,76.8282,11120.631071198126
Apr-13,NZD,42.527699999999996,6045.381172005459
Apr-13,PHP,13.046400000000002,1900.9521636761601
Apr-13,RON,4.834199999999999,616.8323426547361
Apr-13,RUB,3.9953000000000003,490.59104796726
Apr-13,SEK,50.525500000000015,5846.300798424728
Apr-13,THB,52.9296,7504.888208292969
Apr-13,TWD,0.99,91.9353965409
Apr-13,USD,1827.5167000000001,234158.85144675482
May-13,ARS,32.830600000000004,3768.0482436139296
May-13,AUD,1561.633899999998,182093.67176808996
May-13,BRL,7.4973,902.40469348128
May-13,CAD,173.3385,19973.97173027792
May-13,CHF,83.741,9477.92802564266
May-13,CZK,29.0577,3385.5361277385705
May-13,DKK,2.1874,244.93309282798
May-13,EUR,1040.3073000000013,121766.53375993019
May-13,GBP,8977.92519346999,1058833.389638659
May-13,HKD,9.751399999999999,1188.7695041823401
May-13,HRK,0.6408,72.35777372328
May-13,IDR,0.7376,83.32972766652
May-13,INR,14.9747,1866.2838866662996
May-13,MXN,9.6958,1093.09132753206
May-13,NOK,46.8506,5456.595895788051
May-13,NZD,24.2588,2866.5433710234106
May-13,PHP,60.7956,7372.71645668006
May-13,RON,9.376399999999999,1046.83434794392
May-13,SEK,46.95869999999999,5363.47444410124
May-13,SGD,2.1143,247.02603602121002
May-13,THB,12.849,1533.4286399248201
May-13,TWD,2.2937000000000003,257.86973358389
May-13,USD,2033.7825999999984,239705.92425610824
May-13,ZAR,4.6358999999999995,585.6743288612699
Jun-13,AED,1.5,134.22136149
Jun-13,ARS,25.889000000000003,2589.201157384277
Jun-13,AUD,1626.9627265999993,172403.75952183356
Jun-13,BRL,36.245000000000005,4361.923084215269
Jun-13,CAD,163.98426,17069.360822750332
Jun-13,CHF,11.197900000000002,1250.17113259798
Jun-13,CZK,13.665000000000003,1450.636534766644
Jun-13,EUR,1801.56651107,189156.8153617539
Jun-13,GBP,8874.707568960015,938063.2482763232
Jun-13,HKD,57.74360000000001,5918.875025521434
Jun-13,HRK,2.6432,275.83792003712
Jun-13,IDR,1.041,108.44772948389999
Jun-13,ILS,2.4984,241.85498768064
Jun-13,INR,11.2683,1127.47349226694
Jun-13,MXN,14.1266,1570.94686312221
Jun-13,MYR,0.9941,98.069655725516
Jun-13,NOK,60.3261,6332.463823792968
Jun-13,NZD,4.5749745399999995,445.76883330536356
Jun-13,PHP,45.146100000000004,4577.72998416353
Jun-13,PLN,0.2694,26.682907062161995
Jun-13,RON,15.464000000000002,1578.679798926706
Jun-13,SEK,52.3922,5406.2017591287795
Jun-13,THB,573.29443719,58735.38417620011
Jun-13,TWD,0.9963,98.67190936033799
Jun-13,USD,4161.922745599997,429847.05436314037
Jun-13,ZAR,28.772299999999994,2887.6389900441477
Jul-13,ARS,83.9914,7107.147742015114
Jul-13,AUD,3695.7741728199976,322368.26302766195
Jul-13,BRL,67.92559999999999,5473.284613399055
Jul-13,CAD,238.9517999999999,20899.748876718764
